dataset_tag,quarter,feature_name,metric_name,metric_value,reference_window_id,cohort_threshold,sample_size,notes
aoestats,2024-Q2,focal_old_rating,psi,0.2666,2022-Q3-patch66692,10,22503,continuous decile PSI n_bins=10
aoestats,2024-Q2,avg_elo,psi,0.2646,2022-Q3-patch66692,10,22505,continuous decile PSI n_bins=10
aoestats,2024-Q2,faction,psi,0.7834,2022-Q3-patch66692,10,22505,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=649
aoestats,2024-Q2,opponent_faction,psi,0.967,2022-Q3-patch66692,10,22505,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=958
aoestats,2024-Q2,mirror,cohen_h,0.0668,2022-Q3-patch66692,10,22505,binary exact-value Cohen h; ref_rate=0.0507 test_rate=0.0371 (spec §3 metric_name=cohen_h)
aoestats,2024-Q2,p0_is_unrated,cohen_h,0.0051,2022-Q3-patch66692,10,22505,binary exact-value Cohen h; ref_rate=0.0003 test_rate=0.0002 (spec §3 metric_name=cohen_h)
aoestats,2024-Q2,p1_is_unrated,cohen_h,0.0,2022-Q3-patch66692,10,22505,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h)
aoestats,2024-Q2,map,psi,6.6814,2022-Q3-patch66692,10,22505,categorical PSI with __unseen__ bin; n_ref_cats=23; unseen_tested=3504
