dataset_tag,quarter,feature_name,metric_name,metric_value,reference_window_id,cohort_threshold,sample_size,notes
aoestats,2023-Q3,focal_old_rating,psi,0.1023,2022-Q3-patch66692,10,23832,continuous decile PSI n_bins=10
aoestats,2023-Q3,avg_elo,psi,0.0973,2022-Q3-patch66692,10,23832,continuous decile PSI n_bins=10
aoestats,2023-Q3,faction,psi,0.5335,2022-Q3-patch66692,10,23832,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=305
aoestats,2023-Q3,opponent_faction,psi,0.4958,2022-Q3-patch66692,10,23832,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=523
aoestats,2023-Q3,mirror,cohen_h,0.0484,2022-Q3-patch66692,10,23832,binary exact-value Cohen h; ref_rate=0.0507 test_rate=0.0406 (spec §3 metric_name=cohen_h)
aoestats,2023-Q3,p0_is_unrated,cohen_h,0.0318,2022-Q3-patch66692,10,23832,binary exact-value Cohen h; ref_rate=0.0003 test_rate=0.0000 (spec §3 metric_name=cohen_h)
aoestats,2023-Q3,p1_is_unrated,cohen_h,0.0,2022-Q3-patch66692,10,23832,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h)
aoestats,2023-Q3,map,psi,6.589,2022-Q3-patch66692,10,23832,categorical PSI with __unseen__ bin; n_ref_cats=23; unseen_tested=4083
