dataset_tag,quarter,feature_name,metric_name,metric_value,reference_window_id,cohort_threshold,sample_size,notes
aoestats,2024-Q1,focal_old_rating,psi,0.1565,2022-Q3-patch66692,10,25018,continuous decile PSI n_bins=10
aoestats,2024-Q1,avg_elo,psi,0.1543,2022-Q3-patch66692,10,25018,continuous decile PSI n_bins=10
aoestats,2024-Q1,faction,psi,0.657,2022-Q3-patch66692,10,25018,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=556
aoestats,2024-Q1,opponent_faction,psi,0.8124,2022-Q3-patch66692,10,25018,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=879
aoestats,2024-Q1,mirror,cohen_h,0.0662,2022-Q3-patch66692,10,25018,binary exact-value Cohen h; ref_rate=0.0507 test_rate=0.0372 (spec §3 metric_name=cohen_h)
aoestats,2024-Q1,p0_is_unrated,cohen_h,0.0318,2022-Q3-patch66692,10,25018,binary exact-value Cohen h; ref_rate=0.0003 test_rate=0.0000 (spec §3 metric_name=cohen_h)
aoestats,2024-Q1,p1_is_unrated,cohen_h,0.0,2022-Q3-patch66692,10,25018,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h)
aoestats,2024-Q1,map,psi,7.6332,2022-Q3-patch66692,10,25018,categorical PSI with __unseen__ bin; n_ref_cats=23; unseen_tested=4395
