dataset_tag,quarter,feature_name,metric_name,metric_value,reference_window_id,cohort_threshold,sample_size,notes
aoestats,2024-Q3,focal_old_rating,psi,0.2605,2022-Q3-patch66692,10,9481,continuous decile PSI n_bins=10
aoestats,2024-Q3,avg_elo,psi,0.2525,2022-Q3-patch66692,10,9498,continuous decile PSI n_bins=10
aoestats,2024-Q3,faction,psi,1.1273,2022-Q3-patch66692,10,9498,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=396
aoestats,2024-Q3,opponent_faction,psi,0.9578,2022-Q3-patch66692,10,9498,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=395
aoestats,2024-Q3,mirror,cohen_h,0.0542,2022-Q3-patch66692,10,9498,binary exact-value Cohen h; ref_rate=0.0507 test_rate=0.0395 (spec §3 metric_name=cohen_h)
aoestats,2024-Q3,p0_is_unrated,cohen_h,0.0553,2022-Q3-patch66692,10,9498,binary exact-value Cohen h; ref_rate=0.0003 test_rate=0.0019 (spec §3 metric_name=cohen_h)
aoestats,2024-Q3,p1_is_unrated,cohen_h,0.0,2022-Q3-patch66692,10,9498,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0000 (spec §3 metric_name=cohen_h)
aoestats,2024-Q3,map,psi,8.4955,2022-Q3-patch66692,10,9498,categorical PSI with __unseen__ bin; n_ref_cats=23; unseen_tested=1682
