civ,patch_from,patch_to,delta_win_rate,flagged_ge_5pp
byzantines,125283,141935,0.0109,False
byzantines,141935,143421,0.0038,False
byzantines,143421,147949,0.0026,False
byzantines,147949,153015,0.0032,False
byzantines,153015,162286,0.0004,False
celts,66692,73855,0.0043,False
celts,73855,78174,0.0055,False
celts,78174,81058,0.0151,False
celts,81058,82587,0.0005,False
celts,82587,83607,0.0011,False
celts,83607,87863,0.0079,False
celts,87863,93001,0.005,False
celts,93001,95810,0.003,False
celts,95810,99311,0.003,False
celts,99311,104954,0.0006,False
celts,104954,107882,0.0029,False
celts,107882,111772,0.0054,False
celts,111772,125283,0.0031,False
celts,125283,141935,0.0057,False
celts,141935,143421,0.0018,False
celts,143421,147949,0.0,False
celts,147949,153015,0.0024,False
celts,153015,162286,0.0066,False
chinese,66692,73855,0.0065,False
chinese,73855,78174,0.0014,False
chinese,78174,81058,0.007,False
chinese,81058,82587,0.005,False
chinese,82587,83607,0.006,False
chinese,83607,87863,0.0232,False
chinese,87863,93001,0.0018,False
chinese,93001,95810,0.0012,False
chinese,95810,99311,0.0287,False
chinese,99311,104954,0.0102,False
chinese,104954,107882,0.0063,False
chinese,107882,111772,0.0018,False
chinese,111772,125283,0.013,False
chinese,125283,141935,0.0116,False
chinese,141935,143421,0.0181,False
chinese,143421,147949,0.0091,False
chinese,147949,153015,0.0091,False
chinese,153015,162286,0.002,False
cumans,66692,73855,0.0047,False
cumans,73855,78174,0.0048,False
cumans,78174,81058,0.0011,False
cumans,81058,82587,0.0045,False
cumans,82587,83607,0.0043,False
cumans,83607,87863,0.0023,False
cumans,87863,93001,0.0022,False
cumans,93001,95810,0.0028,False
cumans,95810,99311,0.0071,False
cumans,99311,104954,0.0009,False
cumans,104954,107882,0.0058,False
cumans,107882,111772,0.0011,False
cumans,111772,125283,0.0007,False
cumans,125283,141935,0.0194,False
cumans,141935,143421,0.0128,False
cumans,143421,147949,0.0009,False
cumans,147949,153015,0.0024,False
cumans,153015,162286,0.0061,False
dravidians,66692,73855,0.0043,False
dravidians,73855,78174,0.004,False
dravidians,78174,81058,0.0051,False
dravidians,81058,82587,0.0072,False
dravidians,82587,83607,0.0046,False
dravidians,83607,87863,0.0106,False
dravidians,87863,93001,0.0064,False
dravidians,93001,95810,0.008,False
dravidians,95810,99311,0.0051,False
dravidians,99311,104954,0.001,False
dravidians,104954,107882,0.0089,False
dravidians,107882,111772,0.0026,False
dravidians,111772,125283,0.0139,False
dravidians,125283,141935,0.0299,False
dravidians,141935,143421,0.0054,False
dravidians,143421,147949,0.0047,False
dravidians,147949,153015,0.0035,False
dravidians,153015,162286,0.0052,False
ethiopians,66692,73855,0.0022,False
ethiopians,73855,78174,0.0083,False
ethiopians,78174,81058,0.0049,False
ethiopians,81058,82587,0.0032,False
ethiopians,82587,83607,0.0036,False
ethiopians,83607,87863,0.0062,False
ethiopians,87863,93001,0.0014,False
ethiopians,93001,95810,0.003,False
ethiopians,95810,99311,0.0015,False
ethiopians,99311,104954,0.0083,False
ethiopians,104954,107882,0.0026,False
ethiopians,107882,111772,0.0081,False
ethiopians,111772,125283,0.0063,False
ethiopians,125283,141935,0.0103,False
ethiopians,141935,143421,0.0138,False
ethiopians,143421,147949,0.0038,False
ethiopians,147949,153015,0.0131,False
ethiopians,153015,162286,0.0073,False
franks,66692,73855,0.0011,False
franks,73855,78174,0.0021,False
franks,78174,81058,0.0084,False
franks,81058,82587,0.0047,False
franks,82587,83607,0.0017,False
franks,83607,87863,0.0041,False
franks,87863,93001,0.0038,False
franks,93001,95810,0.0049,False
franks,95810,99311,0.0007,False
franks,99311,104954,0.0046,False
franks,104954,107882,0.0041,False
franks,107882,111772,0.0012,False
franks,111772,125283,0.003,False
franks,125283,141935,0.01,False
franks,141935,143421,0.0033,False
franks,143421,147949,0.0106,False
franks,147949,153015,0.002,False
franks,153015,162286,0.0013,False
goths,66692,73855,0.0055,False
goths,73855,78174,0.0072,False
goths,78174,81058,0.0185,False
goths,81058,82587,0.0085,False
goths,82587,83607,0.0029,False
goths,83607,87863,0.0049,False
goths,87863,93001,0.0025,False
goths,93001,95810,0.0009,False
goths,95810,99311,0.0007,False
goths,99311,104954,0.0006,False
goths,104954,107882,0.0067,False
goths,107882,111772,0.0014,False
goths,111772,125283,0.0028,False
goths,125283,141935,0.0128,False
goths,141935,143421,0.0038,False
goths,143421,147949,0.0115,False
goths,147949,153015,0.0008,False
goths,153015,162286,0.0006,False
gurjaras,66692,73855,0.0136,False
gurjaras,73855,78174,0.0145,False
gurjaras,78174,81058,0.0099,False
gurjaras,81058,82587,0.009,False
gurjaras,82587,83607,0.0061,False
gurjaras,83607,87863,0.0108,False
gurjaras,87863,93001,0.0017,False
gurjaras,93001,95810,0.0016,False
gurjaras,95810,99311,0.0005,False
gurjaras,99311,104954,0.0111,False
gurjaras,104954,107882,0.0091,False
gurjaras,107882,111772,0.0019,False
gurjaras,111772,125283,0.0218,False
gurjaras,125283,141935,0.026,False
gurjaras,141935,143421,0.0012,False
gurjaras,143421,147949,0.0227,False
gurjaras,147949,153015,0.009,False
gurjaras,153015,162286,0.0106,False
hindustanis,66692,73855,0.0029,False
hindustanis,73855,78174,0.0621,True
hindustanis,78174,81058,0.0085,False
hindustanis,81058,82587,0.0027,False
hindustanis,82587,83607,0.0038,False
hindustanis,83607,87863,0.0092,False
hindustanis,87863,93001,0.0022,False
hindustanis,93001,95810,0.0027,False
hindustanis,95810,99311,0.036,False
hindustanis,99311,104954,0.0148,False
hindustanis,104954,107882,0.0039,False
hindustanis,107882,111772,0.0056,False
hindustanis,111772,125283,0.0001,False
hindustanis,125283,141935,0.0011,False
hindustanis,141935,143421,0.0094,False
hindustanis,143421,147949,0.0055,False
hindustanis,147949,153015,0.0019,False
hindustanis,153015,162286,0.0002,False
huns,66692,73855,0.0147,False
huns,73855,78174,0.0112,False
huns,78174,81058,0.0142,False
huns,81058,82587,0.0047,False
huns,82587,83607,0.0013,False
huns,83607,87863,0.0034,False
huns,87863,93001,0.0,False
huns,93001,95810,0.0065,False
huns,95810,99311,0.008,False
huns,99311,104954,0.003,False
huns,104954,107882,0.0023,False
huns,107882,111772,0.0076,False
huns,111772,125283,0.0124,False
huns,125283,141935,0.0016,False
huns,141935,143421,0.0263,False
huns,143421,147949,0.0048,False
huns,147949,153015,0.0078,False
huns,153015,162286,0.0164,False
incas,66692,73855,0.0158,False
incas,73855,78174,0.0067,False
incas,78174,81058,0.0369,False
incas,81058,82587,0.011,False
incas,82587,83607,0.0011,False
incas,83607,87863,0.0032,False
incas,87863,93001,0.0039,False
incas,93001,95810,0.0015,False
incas,95810,99311,0.0133,False
incas,99311,104954,0.0022,False
incas,104954,107882,0.0039,False
incas,107882,111772,0.001,False
incas,111772,125283,0.0018,False
incas,125283,141935,0.0069,False
incas,141935,143421,0.0105,False
incas,143421,147949,0.0009,False
incas,147949,153015,0.0049,False
incas,153015,162286,0.0127,False
italians,66692,73855,0.012,False
italians,73855,78174,0.0099,False
italians,78174,81058,0.0187,False
italians,81058,82587,0.0065,False
italians,82587,83607,0.0041,False
italians,83607,87863,0.0084,False
italians,87863,93001,0.0019,False
italians,93001,95810,0.0031,False
italians,95810,99311,0.0135,False
italians,99311,104954,0.0079,False
italians,104954,107882,0.0029,False
italians,107882,111772,0.0051,False
italians,111772,125283,0.0026,False
italians,125283,141935,0.0199,False
italians,141935,143421,0.0009,False
italians,143421,147949,0.0023,False
italians,147949,153015,0.0036,False
italians,153015,162286,0.0125,False
japanese,66692,73855,0.0051,False
japanese,73855,78174,0.0079,False
japanese,78174,81058,0.0054,False
japanese,81058,82587,0.0115,False
japanese,82587,83607,0.0034,False
japanese,83607,87863,0.0113,False
japanese,87863,93001,0.0048,False
japanese,93001,95810,0.002,False
japanese,95810,99311,0.0039,False
japanese,99311,104954,0.0055,False
japanese,104954,107882,0.0008,False
japanese,107882,111772,0.0098,False
japanese,111772,125283,0.0022,False
japanese,125283,141935,0.0314,False
japanese,141935,143421,0.0001,False
