qtr,n_active,n_ever_seen,fraction_active
2022-07-01,17325,277439,0.062446159335926094
2022-10-01,44114,277439,0.1590043216707096
2023-01-01,77695,277439,0.2800435411027289
2023-04-01,95158,277439,0.3429871070757896
2023-07-01,85312,277439,0.30749822483500877
2023-10-01,89698,277439,0.3233071053456796
2024-01-01,91572,277439,0.3300617433021313
2024-04-01,88471,277439,0.31888451155028674
2024-07-01,61960,277439,0.22332837128161506
2024-10-01,80288,277439,0.2893897397265705
