quarter_start,quarter_iso,n_rows,mean_duration,median_duration,p5_duration,p95_duration,iqr_duration,std_duration,corrupt_count,corrupt_rate,cohen_d_vs_ref,mean_drift_pct,feature_name,notes
2022-07-01,2022-Q3,37632,2489.493994472789,2507,544,4287,1330,1130.1045149838228,0,0.0,0.0,0.0,duration_seconds,POST_GAME_HISTORICAL (spec §10) -- reference period
2022-10-01,2022-Q4,159112,2558.4352028759617,2499,461,4278,1332,19803.923615321604,6,3.770928654029866e-05,0.0,0.0,duration_seconds,POST_GAME_HISTORICAL (spec §10) -- reference period
