dataset_tag,quarter,feature_name,metric_name,metric_value,reference_window_id,cohort_threshold,sample_size,notes
aoestats,2024-Q4,focal_old_rating,psi,0.2312,2022-Q3-patch66692,10,17207,continuous decile PSI n_bins=10
aoestats,2024-Q4,avg_elo,psi,0.2208,2022-Q3-patch66692,10,17243,continuous decile PSI n_bins=10
aoestats,2024-Q4,faction,psi,1.3626,2022-Q3-patch66692,10,17245,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=975
aoestats,2024-Q4,opponent_faction,psi,1.0537,2022-Q3-patch66692,10,17245,categorical PSI with __unseen__ bin; n_ref_cats=42; unseen_tested=798
aoestats,2024-Q4,mirror,cohen_h,0.0889,2022-Q3-patch66692,10,17245,binary exact-value Cohen h; ref_rate=0.0507 test_rate=0.0330 (spec §3 metric_name=cohen_h)
aoestats,2024-Q4,p0_is_unrated,cohen_h,0.0658,2022-Q3-patch66692,10,17245,binary exact-value Cohen h; ref_rate=0.0003 test_rate=0.0024 (spec §3 metric_name=cohen_h)
aoestats,2024-Q4,p1_is_unrated,cohen_h,0.0215,2022-Q3-patch66692,10,17245,binary exact-value Cohen h; ref_rate=0.0000 test_rate=0.0001 (spec §3 metric_name=cohen_h)
aoestats,2024-Q4,map,psi,8.669,2022-Q3-patch66692,10,17245,categorical PSI with __unseen__ bin; n_ref_cats=23; unseen_tested=3462
