patch_number,civ,n_matches,win_rate
73855,mayans,12023,0.48482076020959824
73855,mongols,18744,0.5064553990610329
73855,persians,7973,0.48375768217734855
73855,poles,11131,0.5184619531039439
73855,portuguese,12225,0.5389775051124744
73855,saracens,5685,0.45611257695690416
73855,sicilians,4177,0.5118506104859948
73855,slavs,4653,0.47904577691811734
73855,spanish,13535,0.5182859253786479
73855,tatars,5720,0.4743006993006993
73855,teutons,9992,0.5034027221777422
73855,turks,11971,0.5135744716397962
73855,vietnamese,6494,0.43886664613489373
73855,vikings,6943,0.5072735128906812
78174,aztecs,24005,0.48781503853363883
78174,bengalis,5412,0.47265336289726534
78174,berbers,21586,0.5280737515056055
78174,bohemians,10373,0.4906005977055818
78174,britons,43792,0.4746985750822068
78174,bulgarians,21567,0.515185236704224
78174,burgundians,19460,0.4908530318602261
78174,burmese,9997,0.4790437131139342
78174,byzantines,28099,0.48706359656927295
78174,celts,17341,0.4975491609480422
78174,chinese,19103,0.45280845940428205
78174,cumans,22370,0.4986142154671435
78174,dravidians,6964,0.5045950603101665
78174,ethiopians,32041,0.5037295964545426
78174,franks,74976,0.5272887323943662
78174,goths,23813,0.49745937093184395
78174,gurjaras,11981,0.5235790000834655
78174,hindustanis,24379,0.48882234710201405
78174,huns,24640,0.5022727272727273
78174,incas,11323,0.4895345756424976
78174,italians,18524,0.49093068451738286
78174,japanese,21133,0.4979889272701462
78174,khmer,26715,0.48542017593112485
78174,koreans,12492,0.4674991994876721
78174,lithuanians,39853,0.5189822598047826
78174,magyars,36069,0.5047825002079348
78174,malay,12273,0.46231565224476495
78174,malians,15517,0.5078945672488239
78174,mayans,31097,0.4842589317297489
78174,mongols,47791,0.5132765583478061
78174,persians,19732,0.49032029191161564
78174,poles,21937,0.4940511464648767
78174,portuguese,34169,0.5290467968041207
78174,saracens,14947,0.4735398407707232
78174,sicilians,10163,0.49050477221292926
78174,slavs,12240,0.4863562091503268
78174,spanish,33299,0.5116970479593982
78174,tatars,14773,0.47559737358694915
78174,teutons,26702,0.5073402741367687
78174,turks,31308,0.5266066181167752
78174,vietnamese,15011,0.4476050896009593
78174,vikings,19691,0.5173937331775939
81058,aztecs,14212,0.47924289332958064
