dataset_tag,period_tag,feature_name,metric_name,metric_value,n,notes
sc2egset,2024-Q4,duration_seconds,mean,746.2456,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,median,671.0,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,p5,337.0,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,p95,1348.0,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,iqr,412.0,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,sd,326.4666,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,suspicious_rate,0.0,684,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,mean,725.3397,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,median,642.0,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,p5,299.0,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,p95,1388.0,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,iqr,419.0,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,sd,358.8528,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,reference,duration_seconds,suspicious_rate,0.0,6536,[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q1,duration_seconds,cohen_d,0.1295,1040,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q2,duration_seconds,cohen_d,-0.0258,2792,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q3,duration_seconds,cohen_d,0.544,488,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2023-Q4,duration_seconds,cohen_d,0.1648,2688,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q1,duration_seconds,cohen_d,0.2075,748,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q2,duration_seconds,cohen_d,-0.0513,1748,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q3,duration_seconds,cohen_d,0.2618,992,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
sc2egset,2024-Q4,duration_seconds,cohen_d,0.0587,684,cohen_d vs reference;[SC2EGSET-POST-GAME];[POP:tournament]
